,add,latitude,longitude,nearest_sch_index,distance_to_nearest_sch,nearest_sch_lat,nearest_sch_lon,nearest_sch_name,nearest_mrt_index,distance_to_nearest_mrt,nearest_mrt_lat,nearest_mrt_lon,nearest_mrt_name,walk_time_to_school,walk_distance_to_school,walk_time_to_mrt,walk_distance_to_mrt,line
0,309 ANG MO KIO AVE 1,1.36544495225352,103.842715047475,0,1205.6763446229113,1.3605834338904,103.833020333986,AI TONG SCHOOL,16,912.1877005498296,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1463.0,2031.0,807.0,1120.0,NS
1,44 BENDEMEER RD,1.32226013692281,103.86662310263,6,1001.4367796866552,1.32175999964553,103.857628468881,HONG WEN SCHOOL,87,592.6428190118015,1.3215058380176048,103.8719006257064,GEYLANG BAHRU MRT STATION,900.0,1250.0,663.0,918.0,DT
2,20 ST. GEORGE'S RD,1.3247396755322,103.862860231376,6,669.345528354148,1.32175999964553,103.857628468881,HONG WEN SCHOOL,150,608.3787089565643,1.3193957060230523,103.8616865018698,BOON KENG MRT STATION,666.0,925.0,571.0,793.0,NE
3,14 KG ARANG RD,1.30016459105,103.884228450233,7,1288.7608457689796,1.31099674009193,103.888352029067,KONG HWA SCHOOL,103,697.4228627246026,1.3062019048312363,103.8825280808098,MOUNTBATTEN MRT STATION,1334.0,1845.0,630.0,875.0,CC
4,46 OWEN RD,1.31514019805556,103.850798372212,6,1057.5058191032856,1.32175999964553,103.857628468881,HONG WEN SCHOOL,129,486.4758455455468,1.3123598402121364,103.8541771415314,FARRER PARK MRT STATION,1082.0,1503.0,503.0,698.0,NE
5,49 DORSET RD,1.3129579815118,103.850158739219,6,1283.5328826823086,1.32175999964553,103.857628468881,HONG WEN SCHOOL,129,451.6328947108491,1.3123598402121364,103.8541771415314,FARRER PARK MRT STATION,1203.0,1671.0,559.0,775.0,NE
6,95 GEYLANG BAHRU,1.32300949333249,103.871104763913,6,1504.5254532345436,1.32175999964553,103.857628468881,HONG WEN SCHOOL,87,189.16339032329583,1.3215058380176048,103.8719006257064,GEYLANG BAHRU MRT STATION,1419.0,1968.0,196.0,272.0,DT
7,94 GEYLANG BAHRU,1.32265301195608,103.87130995354,6,1524.1447200456605,1.32175999964553,103.857628468881,HONG WEN SCHOOL,87,143.4679984062032,1.3215058380176048,103.8719006257064,GEYLANG BAHRU MRT STATION,1413.0,1959.0,121.0,168.0,DT
8,16 UPP BOON KENG RD,1.31543175817283,103.871651573593,6,1710.3427042364056,1.32175999964553,103.857628468881,HONG WEN SCHOOL,25,439.4135897605451,1.3114889096421625,103.87138654135926,KALLANG MRT STATION,1611.0,2237.0,483.0,671.0,EW
9,68 GEYLANG BAHRU,1.32195385488883,103.869843391813,6,1358.047091132523,1.32175999964553,103.857628468881,HONG WEN SCHOOL,87,234.05617141209933,1.3215058380176048,103.8719006257064,GEYLANG BAHRU MRT STATION,1263.0,1750.0,229.0,318.0,DT
10,65 KALLANG BAHRU,1.31969547154613,103.868364964604,6,1215.4036696702046,1.32175999964553,103.857628468881,HONG WEN SCHOOL,87,441.5948883439536,1.3215058380176048,103.8719006257064,GEYLANG BAHRU MRT STATION,1201.0,1665.0,344.0,477.0,DT
